rank,team,total,avg,points
1   2,Texas,25 Commits,93.63,312.27
2   1,Georgia,27 Commits,93.03,304.64
3   3,Alabama,21 Commits,93.42,298.40
4   5,Ohio State,26 Commits,92.46,297.72
5   7,Oregon,19 Commits,94.35,292.18
6   6,Michigan,24 Commits,92.18,290.87
7   10,Florida,27 Commits,91.12,287.77
8   9,Auburn,26 Commits,91.57,286.89
9   4,Texas A&M,25 Commits,91.89,282.42
10   8,LSU,23 Commits,92.11,281.53
11   11,Tennessee,25 Commits,91.32,277.93
12   12,Notre Dame,24 Commits,91.02,270.22
13   14,USC,28 Commits,90.05,262.74
14   15,Miami,21 Commits,90.83,257.66
15   13,Penn State,28 Commits,90.07,255.75
16   17,Ole Miss,23 Commits,89.79,251.63
17   16,Missouri,18 Commits,91.10,250.29
18   20,Oklahoma,18 Commits,90.74,248.60
19   18,South Carolina,26 Commits,88.85,244.27
20   21,Florida State,23 Commits,89.01,244.11
21   19,Georgia Tech,24 Commits,88.49,241.27
22   25,Nebraska,20 Commits,89.65,237.53
23   23,Washington,28 Commits,88.32,235.15
24   24,TCU,31 Commits,87.62,230.41
25   28,Maryland,21 Commits,88.11,228.43
26   31,Clemson,15 Commits,90.48,227.23
27   26,Wisconsin,22 Commits,88.40,226.13
28   22,Mississippi State,29 Commits,87.64,226.13
29   29,Kentucky,22 Commits,88.49,224.01
30   30,Rutgers,30 Commits,87.71,222.19
31   27,Duke,28 Commits,86.92,220.94
32   32,SMU,24 Commits,87.52,220.85
33   37,Arkansas,23 Commits,87.63,218.53
34   36,Kansas State,26 Commits,87.08,213.85
35   33,NC State,23 Commits,87.26,212.19
36   35,North Carolina,30 Commits,85.95,211.72
37   43,Baylor,23 Commits,86.80,211.06
38   59,Colorado,15 Commits,89.43,209.08
39   34,Utah,24 Commits,86.94,208.55
40   39,Iowa,16 Commits,88.33,208.27
41   40,UCLA,22 Commits,86.97,208.23
42   44,Virginia Tech,20 Commits,87.41,208.19
43   38,BYU,24 Commits,86.38,207.99
44   47,Syracuse,35 Commits,86.16,206.47
45   41,Arizona State,24 Commits,86.61,204.81
46   53,Illinois,23 Commits,86.79,203.78
47   45,Minnesota,22 Commits,86.27,202.95
48   42,West Virginia,30 Commits,86.29,202.86
49   52,Indiana,23 Commits,86.58,202.68
50   48,Arizona,29 Commits,85.57,202.22
51   56,Texas Tech,18 Commits,87.35,201.51
52   55,Oklahoma State,22 Commits,86.74,201.22
53   50,Pittsburgh,22 Commits,86.62,200.25
54   46,Houston,19 Commits,86.81,198.73
55   49,Iowa State,23 Commits,86.35,198.58
56   58,Stanford,17 Commits,87.05,196.58
57   54,Michigan State,18 Commits,86.89,196.10
58   61,Virginia,21 Commits,86.80,195.76
59   51,Boston College,27 Commits,85.96,195.09
60   63,Memphis,24 Commits,86.15,194.42
61   57,Boise State,27 Commits,85.25,192.05
62   68,South Florida,27 Commits,85.28,190.49
63   60,Wake Forest,24 Commits,85.65,189.90
64   64,Cincinnati,19 Commits,86.04,189.52
65   62,Oregon State,20 Commits,85.90,188.93
66   65,Northwestern,20 Commits,85.90,187.75
67   69,Washington State,36 Commits,84.45,186.44
68   67,Georgia State,35 Commits,84.22,185.20
69   66,California,18 Commits,85.80,184.75
70   70,Tulane,20 Commits,85.62,184.73
71   76,Louisville,16 Commits,86.41,183.10
72   74,Toledo,22 Commits,84.74,180.64
73   78,Georgia Southern,22 Commits,84.86,180.31
74   79,Arkansas State,28 Commits,84.18,179.64
75   71,UTEP,34 Commits,83.74,179.54
76   75,Kansas,16 Commits,86.52,178.35
77   81,East Carolina,23 Commits,84.30,178.31
78   87,Eastern Michigan,27 Commits,83.68,173.39
79   80,Vanderbilt,13 Commits,87.13,173.04
80   83,Rice,22 Commits,83.99,171.55
81   72,San Diego State,19 Commits,84.86,171.52
82   91,Old Dominion,30 Commits,82.98,170.69
83   97,UCF,15 Commits,87.55,170.04
84   77,Louisiana,20 Commits,84.18,169.83
85   88,Coastal Carolina,25 Commits,83.12,169.44
86   100,Purdue,16 Commits,85.16,169.01
87   89,Jacksonville State,23 Commits,84.23,168.49
88   82,Texas State,24 Commits,83.56,168.03
89   96,UNLV,18 Commits,84.91,167.61
90   90,Sacramento State,30 Commits,83.62,167.34
91   73,Northern Illinois,31 Commits,82.81,167.08
92   85,Middle Tennessee,22 Commits,83.61,166.96
93   86,Nevada,28 Commits,82.86,166.95
94   95,Utah State,34 Commits,82.61,166.02
95   93,Wyoming,29 Commits,82.63,165.71
96   84,Miami (OH),21 Commits,83.61,165.07
97   94,Liberty,15 Commits,85.56,165.02
98   102,Troy,17 Commits,84.85,164.69
99   98,Air Force,64 Commits,81.86,163.57
100   110,Florida Atlantic,20 Commits,84.40,163.23
101   101,Western Kentucky,23 Commits,83.67,161.75
102   92,Bowling Green,22 Commits,83.44,160.44
103   105,James Madison,18 Commits,84.38,159.61
104   103,FIU,25 Commits,83.59,159.55
105   107,Kent State,22 Commits,82.49,159.23
106   99,Fresno State,22 Commits,82.55,158.35
107   104,North Dakota State,30 Commits,81.77,157.58
108   109,Buffalo,18 Commits,84.03,155.63
109   113,Army,83 Commits,80.58,152.37
110   114,Appalachian State,19 Commits,85.01,151.48
111   108,UTSA,15 Commits,83.98,151.22
112   111,South Alabama,18 Commits,83.62,150.53
113   117,Louisiana Tech,26 Commits,83.52,149.99
114   106,Southern Miss,15 Commits,83.74,149.76
115   118,Tulsa,18 Commits,83.33,149.25
116   123,New Mexico State,23 Commits,82.14,148.16
117   115,UC Davis,23 Commits,81.76,145.03
