,team,year,primary_rank,other_rank,total,avg,points
0,Alabama,2015,1,2,24 Commits,93.73,311.10
1,USC,2015,2,1,28 Commits,92.28,310.88
2,Florida State,2015,3,7,20 Commits,92.54,287.06
3,Tennessee,2015,4,3,30 Commits,89.48,286.26
4,LSU,2015,5,4,24 Commits,89.91,284.37
5,Georgia,2015,6,8,30 Commits,89.74,282.54
6,Ohio State,2015,7,5,26 Commits,90.31,279.60
7,Auburn,2015,8,6,29 Commits,90.16,278.31
8,Clemson,2015,9,10,26 Commits,89.12,277.98
9,Texas,2015,10,9,29 Commits,89.43,272.49
10,Texas A&M,2015,11,12,27 Commits,89.03,270.61
11,UCLA,2015,12,14,19 Commits,91.63,269.68
12,Notre Dame,2015,13,11,23 Commits,90.45,267.79
13,Penn State,2015,14,13,25 Commits,89.05,250.00
14,Oklahoma,2015,15,17,28 Commits,88.20,249.69
15,Oregon,2015,16,16,22 Commits,88.71,245.79
16,Ole Miss,2015,17,15,22 Commits,88.65,245.71
17,Mississippi State,2015,18,18,27 Commits,87.69,237.46
18,Arizona State,2015,19,20,23 Commits,87.82,232.73
19,South Carolina,2015,20,19,31 Commits,86.63,230.49
20,Florida,2015,21,22,21 Commits,87.26,227.46
21,Arkansas,2015,22,21,25 Commits,86.56,222.51
22,Michigan State,2015,23,28,21 Commits,87.66,221.77
23,Stanford,2015,24,27,22 Commits,87.04,220.65
24,Missouri,2015,25,23,24 Commits,86.44,217.98
25,Washington,2015,26,25,25 Commits,85.77,215.83
26,Miami,2015,27,24,22 Commits,86.36,215.49
27,North Carolina,2015,28,32,19 Commits,87.59,214.05
28,Virginia Tech,2015,29,26,24 Commits,86.35,212.07
29,Nebraska,2015,30,29,21 Commits,86.16,211.72
30,NC State,2015,31,30,23 Commits,85.31,208.69
31,Texas Tech,2015,32,35,19 Commits,85.79,203.18
32,Louisville,2015,33,31,25 Commits,85.40,201.40
33,California,2015,34,39,25 Commits,84.63,198.77
34,West Virginia,2015,35,37,22 Commits,84.75,198.02
35,Baylor,2015,36,33,19 Commits,85.20,195.88
36,Michigan,2015,37,48,14 Commits,87.81,194.82
37,Kentucky,2015,38,38,21 Commits,85.09,193.19
38,TCU,2015,39,34,21 Commits,85.63,191.44
39,Oklahoma State,2015,40,47,21 Commits,84.86,191.28
40,Wisconsin,2015,41,36,19 Commits,85.50,189.85
41,Washington State,2015,42,43,25 Commits,84.20,188.41
42,Arizona,2015,43,45,26 Commits,84.32,186.57
43,Georgia Tech,2015,44,41,27 Commits,84.46,185.45
44,Utah,2015,45,40,23 Commits,84.65,183.38
45,Pittsburgh,2015,46,62,15 Commits,85.98,183.18
46,Maryland,2015,47,51,18 Commits,84.73,182.31
47,Illinois,2015,48,58,24 Commits,83.45,181.74
48,Vanderbilt,2015,49,42,19 Commits,84.47,181.37
49,Virginia,2015,50,53,23 Commits,84.02,179.92
50,Wake Forest,2015,51,49,25 Commits,82.98,176.85
51,Duke,2015,52,57,18 Commits,84.45,175.77
52,Indiana,2015,53,44,23 Commits,83.78,175.35
53,Kansas State,2015,54,55,22 Commits,83.39,175.02
54,Northwestern,2015,55,54,20 Commits,84.07,174.83
55,Rutgers,2015,56,61,26 Commits,82.82,172.19
56,Syracuse,2015,57,52,28 Commits,82.69,172.06
57,Boise State,2015,58,50,22 Commits,83.61,171.68
58,Iowa,2015,59,46,21 Commits,83.26,169.99
59,Boston College,2015,60,60,25 Commits,83.43,169.45
60,Oregon State,2015,61,59,20 Commits,83.45,167.89
61,San Jose State,2015,62,56,33 Commits,80.88,167.14
62,Minnesota,2015,63,63,24 Commits,83.14,167.01
63,Iowa State,2015,64,66,24 Commits,82.37,166.50
